station,date,prcp,tobs
USC00519397,1/1/2010,0.08,65
USC00519397,1/2/2010,0,63
USC00519397,1/3/2010,0,74
USC00519397,1/4/2010,0,76
USC00519397,1/6/2010,,73
USC00519397,1/7/2010,0.06,70
USC00519397,1/8/2010,0,64
USC00519397,1/9/2010,0,68
USC00519397,1/10/2010,0,73
USC00519397,1/11/2010,0.01,64
USC00519397,1/12/2010,0,61
USC00519397,1/14/2010,0,66
USC00519397,1/15/2010,0,65
USC00519397,1/16/2010,0,68
USC00519397,1/17/2010,0,64
USC00519397,1/18/2010,0,72
USC00519397,1/19/2010,0,66
USC00519397,1/20/2010,0,66
USC00519397,1/21/2010,0,69
USC00519397,1/22/2010,0,67
USC00519397,1/23/2010,0,67
USC00519397,1/24/2010,0.01,71
USC00519397,1/25/2010,0,67
USC00519397,1/26/2010,0.04,76
USC00519397,1/27/2010,0.12,68
USC00519397,1/28/2010,0,72
USC00519397,1/30/2010,,70
USC00519397,1/31/2010,0.03,67
USC00519397,2/1/2010,0.01,66
USC00519397,2/3/2010,,67
USC00519397,2/4/2010,0.01,69
USC00519397,2/5/2010,0,67
USC00519397,2/6/2010,0,67
USC00519397,2/7/2010,0,64
USC00519397,2/8/2010,0,69
USC00519397,2/9/2010,0,73
USC00519397,2/11/2010,0,73
USC00519397,2/12/2010,0.02,69
USC00519397,2/13/2010,0.01,69
USC00519397,2/14/2010,0,69
USC00519397,2/15/2010,0,71
USC00519397,2/16/2010,0,61
USC00519397,2/17/2010,0,69
USC00519397,2/19/2010,,63
USC00519397,2/20/2010,0.03,64
USC00519397,2/21/2010,0,65
USC00519397,2/22/2010,0,67
USC00519397,2/23/2010,0,68
USC00519397,2/24/2010,0,65
USC00519397,2/25/2010,0,76
USC00519397,2/26/2010,0,75
USC00519397,2/28/2010,0,66
USC00519397,3/1/2010,0.01,70
USC00519397,3/2/2010,0,72
USC00519397,3/3/2010,0,73
USC00519397,3/4/2010,0.12,70
USC00519397,3/5/2010,0.08,71
USC00519397,3/6/2010,0.03,72
USC00519397,3/7/2010,0,72
USC00519397,3/8/2010,0.43,69
USC00519397,3/9/2010,0.06,70
USC00519397,3/11/2010,,73
USC00519397,3/12/2010,0,72
USC00519397,3/13/2010,0,73
USC00519397,3/14/2010,0,70
USC00519397,3/15/2010,0.06,71
USC00519397,3/17/2010,0,68
USC00519397,3/18/2010,0,70
USC00519397,3/21/2010,0,72
USC00519397,3/22/2010,0,69
USC00519397,3/23/2010,0,68
USC00519397,3/24/2010,0,74
USC00519397,3/26/2010,,72
USC00519397,3/27/2010,0,72
USC00519397,3/28/2010,0,73
USC00519397,3/29/2010,0,74
USC00519397,3/30/2010,0,73
USC00519397,3/31/2010,0,73
USC00519397,4/1/2010,0,74
USC00519397,4/2/2010,0.01,74
USC00519397,4/3/2010,0.17,74
USC00519397,4/4/2010,0.15,71
USC00519397,4/5/2010,0.27,72
USC00519397,4/6/2010,0.01,75
USC00519397,4/8/2010,0,75
USC00519397,4/9/2010,0.01,75
USC00519397,4/10/2010,0,75
USC00519397,4/11/2010,0.01,73
USC00519397,4/12/2010,0.01,73
USC00519397,4/13/2010,0,71
USC00519397,4/15/2010,0,71
USC00519397,4/16/2010,0.01,68
USC00519397,4/17/2010,0,70
USC00519397,4/18/2010,0,71
USC00519397,4/19/2010,0,74
USC00519397,4/20/2010,0.04,71
USC00519397,4/21/2010,0.01,75
USC00519397,4/22/2010,0,76
USC00519397,4/23/2010,0.02,75
USC00519397,4/24/2010,0,75
USC00519397,4/25/2010,0,76
USC00519397,4/26/2010,0,76
USC00519397,4/28/2010,0,76
USC00519397,4/30/2010,0,77
USC00519397,5/1/2010,0,77
USC00519397,5/2/2010,0.03,73
USC00519397,5/3/2010,0.2,74
USC00519397,5/4/2010,0.08,76
USC00519397,5/5/2010,0.01,76
USC00519397,5/6/2010,0,80
USC00519397,5/7/2010,0.05,74
USC00519397,5/8/2010,0,77
USC00519397,5/9/2010,0,77
USC00519397,5/10/2010,0,76
USC00519397,5/11/2010,0,77
USC00519397,5/13/2010,0,78
USC00519397,5/14/2010,0,78
USC00519397,5/15/2010,0,75
USC00519397,5/16/2010,0.03,73
USC00519397,5/17/2010,0,77
USC00519397,5/18/2010,0,76
USC00519397,5/19/2010,0,77
USC00519397,5/21/2010,,77
USC00519397,5/22/2010,0,78
USC00519397,5/23/2010,0.05,75
USC00519397,5/24/2010,0,77
USC00519397,5/25/2010,0,77
USC00519397,5/26/2010,0.02,77
USC00519397,5/27/2010,0,76
USC00519397,5/28/2010,0,75
USC00519397,5/29/2010,0,77
USC00519397,5/30/2010,0,77
USC00519397,5/31/2010,0,77
USC00519397,6/1/2010,0,78
USC00519397,6/2/2010,0.01,76
USC00519397,6/3/2010,0,78
USC00519397,6/4/2010,0,76
USC00519397,6/5/2010,0,77
USC00519397,6/6/2010,0,78
USC00519397,6/7/2010,0,77
USC00519397,6/8/2010,0,78
USC00519397,6/9/2010,0,78
USC00519397,6/10/2010,0,79
USC00519397,6/11/2010,0,78
USC00519397,6/12/2010,0,78
USC00519397,6/13/2010,0,78
USC00519397,6/14/2010,0,77
USC00519397,6/15/2010,0,78
USC00519397,6/16/2010,0,78
USC00519397,6/17/2010,0,77
USC00519397,6/18/2010,0,77
USC00519397,6/19/2010,0,82
USC00519397,6/20/2010,0,78
USC00519397,6/21/2010,0,78
USC00519397,6/22/2010,0,78
USC00519397,6/23/2010,0,78
USC00519397,6/24/2010,0,78
USC00519397,6/25/2010,0,77
USC00519397,6/26/2010,0.02,76
USC00519397,6/27/2010,0,78
USC00519397,6/28/2010,0,78
USC00519397,6/29/2010,0,78
USC00519397,6/30/2010,0,78
USC00519397,7/1/2010,0.01,75
USC00519397,7/2/2010,0.05,77
USC00519397,7/3/2010,0.09,77
USC00519397,7/4/2010,0.05,78
USC00519397,7/5/2010,0.06,78
USC00519397,7/6/2010,0.08,76
USC00519397,7/7/2010,0.08,74
